,Exh. Idx,Selevminer Idx,Exh. metric,Selevminer metric,Abs. difference,Manhattan dist.
0,0,0,[1. 0. 0. 0. 0.],[0.41596639 0.00568182 0.         0.         0.        ],[0.58403361 0.00568182 0.         0.         0.        ],0.5897154316271963
1,0,4,[1. 0. 0. 0. 0.],[0.26995798 0.02272727 0.02631579 0.03125    0.02631579],[0.73004202 0.02272727 0.02631579 0.03125    0.02631579],0.8366508684813638
2,0,3,[1. 0. 0. 0. 0.],[0.09150327 0.05681818 0.05263158 0.0625     0.07894737],[0.90849673 0.05681818 0.05263158 0.0625     0.07894737],1.1593938612127466
3,0,5,[1. 0. 0. 0. 0.],[0.07528011 0.17613636 0.21052632 0.21875    0.21052632],[0.92471989 0.17613636 0.21052632 0.21875    0.21052632],1.740658883170493
4,0,2,[1. 0. 0. 0. 0.],[0.05256769 0.33522727 0.39473684 0.4375     0.36842105],[0.94743231 0.33522727 0.39473684 0.4375     0.36842105],2.4833174737199504
5,0,1,[1. 0. 0. 0. 0.],[0.00497977 0.77840909 0.78947368 0.84375    0.78947368],[0.99502023 0.77840909 0.78947368 0.84375    0.78947368],4.196126689644491
6,1,4,[0.26995798 0.0625     0.10526316 0.0625     0.05263158],[0.26995798 0.02272727 0.02631579 0.03125    0.02631579],[0.         0.03977273 0.07894737 0.03125    0.02631579],0.1762858851674641
7,1,3,[0.26995798 0.0625     0.10526316 0.0625     0.05263158],[0.09150327 0.05681818 0.05263158 0.0625     0.07894737],[0.17845472 0.00568182 0.05263158 0.         0.02631579],0.2630839018222919
8,1,0,[0.26995798 0.0625     0.10526316 0.0625     0.05263158],[0.41596639 0.00568182 0.         0.         0.        ],[0.1460084  0.05681818 0.10526316 0.0625     0.05263158],0.42322132202163165
9,1,5,[0.26995798 0.0625     0.10526316 0.0625     0.05263158],[0.07528011 0.17613636 0.21052632 0.21875    0.21052632],[0.19467787 0.11363636 0.10526316 0.15625    0.15789474],0.7277221295216652
10,1,2,[0.26995798 0.0625     0.10526316 0.0625     0.05263158],[0.05256769 0.33522727 0.39473684 0.4375     0.36842105],[0.21739029 0.27272727 0.28947368 0.375      0.31578947],1.4703807200711227
11,1,1,[0.26995798 0.0625     0.10526316 0.0625     0.05263158],[0.00497977 0.77840909 0.78947368 0.84375    0.78947368],[0.26497821 0.71590909 0.68421053 0.78125    0.73684211],3.1831899359956637
12,2,2,[0.05256769 0.33522727 0.39473684 0.4375     0.36842105],[0.05256769 0.33522727 0.39473684 0.4375     0.36842105],[0. 0. 0. 0. 0.],0.0
13,2,5,[0.05256769 0.33522727 0.39473684 0.4375     0.36842105],[0.07528011 0.17613636 0.21052632 0.21875    0.21052632],[0.02271242 0.15909091 0.18421053 0.21875    0.15789474],0.7426585905494574
14,2,3,[0.05256769 0.33522727 0.39473684 0.4375     0.36842105],[0.09150327 0.05681818 0.05263158 0.0625     0.07894737],[0.03893557 0.27840909 0.34210526 0.375      0.28947368],1.3239236125072038
15,2,4,[0.05256769 0.33522727 0.39473684 0.4375     0.36842105],[0.26995798 0.02272727 0.02631579 0.03125    0.02631579],[0.21739029 0.3125     0.36842105 0.40625    0.34210526],1.6466666052385865
16,2,1,[0.05256769 0.33522727 0.39473684 0.4375     0.36842105],[0.00497977 0.77840909 0.78947368 0.84375    0.78947368],[0.04758792 0.44318182 0.39473684 0.40625    0.42105263],1.712809215924541
17,2,0,[0.05256769 0.33522727 0.39473684 0.4375     0.36842105],[0.41596639 0.00568182 0.         0.         0.        ],[0.36339869 0.32954545 0.39473684 0.4375     0.36842105],1.8936020420927544
18,3,0,[0.41596639 0.00568182 0.         0.         0.        ],[0.41596639 0.00568182 0.         0.         0.        ],[0. 0. 0. 0. 0.],0.0
19,3,4,[0.41596639 0.00568182 0.         0.         0.        ],[0.26995798 0.02272727 0.02631579 0.03125    0.02631579],[0.1460084  0.01704545 0.02631579 0.03125    0.02631579],0.24693543685416752
20,3,3,[0.41596639 0.00568182 0.         0.         0.        ],[0.09150327 0.05681818 0.05263158 0.0625     0.07894737],[0.32446312 0.05113636 0.05263158 0.0625     0.07894737],0.5696784295855504
21,3,5,[0.41596639 0.00568182 0.         0.         0.        ],[0.07528011 0.17613636 0.21052632 0.21875    0.21052632],[0.34068627 0.17045455 0.21052632 0.21875    0.21052632],1.1509434515432968
22,3,2,[0.41596639 0.00568182 0.         0.         0.        ],[0.05256769 0.33522727 0.39473684 0.4375     0.36842105],[0.36339869 0.32954545 0.39473684 0.4375     0.36842105],1.8936020420927544
23,3,1,[0.41596639 0.00568182 0.         0.         0.        ],[0.00497977 0.77840909 0.78947368 0.84375    0.78947368],[0.41098662 0.77272727 0.78947368 0.84375    0.78947368],3.606411258017295
