,Exh. Idx,Selevminer Idx,Exh. metric,Selevminer metric,Abs. difference,Manhattan dist.
0,0,2,[1. 0. 0. 0. 0.],[1. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.0
1,0,7,[1. 0. 0. 0. 0.],[0.41596639 0.00568182 0.         0.         0.        ],[0.58403361 0.00568182 0.         0.         0.        ],0.5897154316271963
2,0,0,[1. 0. 0. 0. 0.],[0.26995798 0.02272727 0.02631579 0.03125    0.02631579],[0.73004202 0.02272727 0.02631579 0.03125    0.02631579],0.8366508684813638
3,0,1,[1. 0. 0. 0. 0.],[0.12394958 0.05113636 0.05263158 0.0625     0.07894737],[0.87605042 0.05113636 0.05263158 0.0625     0.07894737],1.121265731172852
4,0,8,[1. 0. 0. 0. 0.],[0.09150327 0.05681818 0.05263158 0.0625     0.07894737],[0.90849673 0.05681818 0.05263158 0.0625     0.07894737],1.1593938612127466
5,0,6,[1. 0. 0. 0. 0.],[0.07528011 0.17613636 0.21052632 0.21875    0.21052632],[0.92471989 0.17613636 0.21052632 0.21875    0.21052632],1.740658883170493
6,0,4,[1. 0. 0. 0. 0.],[0.05256769 0.33522727 0.39473684 0.4375     0.36842105],[0.94743231 0.33522727 0.39473684 0.4375     0.36842105],2.4833174737199504
7,0,5,[1. 0. 0. 0. 0.],[0.04794521 0.55113636 0.65789474 0.65625    0.57894737],[0.95205479 0.55113636 0.65789474 0.65625    0.57894737],3.3962832634200697
8,0,10,[1. 0. 0. 0. 0.],[0.04632486 0.59659091 0.71052632 0.71875    0.63157895],[0.95367514 0.59659091 0.71052632 0.71875    0.63157895],3.6111213131912567
9,0,9,[1. 0. 0. 0. 0.],[0.00497977 0.77840909 0.78947368 0.84375    0.78947368],[0.99502023 0.77840909 0.78947368 0.84375    0.78947368],4.196126689644491
10,0,3,[1. 0. 0. 0. 0.],[0.00165194 0.84090909 0.84210526 0.875      0.84210526],[0.99834806 0.84090909 0.84210526 0.875      0.84210526],4.398467674396467
11,1,0,[0.26995798 0.0625     0.10526316 0.0625     0.05263158],[0.26995798 0.02272727 0.02631579 0.03125    0.02631579],[0.         0.03977273 0.07894737 0.03125    0.02631579],0.1762858851674641
12,1,1,[0.26995798 0.0625     0.10526316 0.0625     0.05263158],[0.12394958 0.05113636 0.05263158 0.0625     0.07894737],[0.1460084  0.01136364 0.05263158 0.         0.02631579],0.2363194081460335
13,1,8,[0.26995798 0.0625     0.10526316 0.0625     0.05263158],[0.09150327 0.05681818 0.05263158 0.0625     0.07894737],[0.17845472 0.00568182 0.05263158 0.         0.02631579],0.2630839018222919
14,1,7,[0.26995798 0.0625     0.10526316 0.0625     0.05263158],[0.41596639 0.00568182 0.         0.         0.        ],[0.1460084  0.05681818 0.10526316 0.0625     0.05263158],0.42322132202163165
15,1,6,[0.26995798 0.0625     0.10526316 0.0625     0.05263158],[0.07528011 0.17613636 0.21052632 0.21875    0.21052632],[0.19467787 0.11363636 0.10526316 0.15625    0.15789474],0.7277221295216652
16,1,2,[0.26995798 0.0625     0.10526316 0.0625     0.05263158],[1. 0. 0. 0. 0.],[0.73004202 0.0625     0.10526316 0.0625     0.05263158],1.012936753648828
17,1,4,[0.26995798 0.0625     0.10526316 0.0625     0.05263158],[0.05256769 0.33522727 0.39473684 0.4375     0.36842105],[0.21739029 0.27272727 0.28947368 0.375      0.31578947],1.4703807200711227
18,1,5,[0.26995798 0.0625     0.10526316 0.0625     0.05263158],[0.04794521 0.55113636 0.65789474 0.65625    0.57894737],[0.22201278 0.48863636 0.55263158 0.59375    0.52631579],2.3833465097712416
19,1,10,[0.26995798 0.0625     0.10526316 0.0625     0.05263158],[0.04632486 0.59659091 0.71052632 0.71875    0.63157895],[0.22363312 0.53409091 0.60526316 0.65625    0.57894737],2.5981845595424287
20,1,9,[0.26995798 0.0625     0.10526316 0.0625     0.05263158],[0.00497977 0.77840909 0.78947368 0.84375    0.78947368],[0.26497821 0.71590909 0.68421053 0.78125    0.73684211],3.1831899359956637
21,1,3,[0.26995798 0.0625     0.10526316 0.0625     0.05263158],[0.00165194 0.84090909 0.84210526 0.875      0.84210526],[0.26830604 0.77840909 0.73684211 0.8125     0.78947368],3.385530920747639
22,2,4,[0.05256769 0.33522727 0.39473684 0.4375     0.36842105],[0.05256769 0.33522727 0.39473684 0.4375     0.36842105],[0. 0. 0. 0. 0.],0.0
23,2,6,[0.05256769 0.33522727 0.39473684 0.4375     0.36842105],[0.07528011 0.17613636 0.21052632 0.21875    0.21052632],[0.02271242 0.15909091 0.18421053 0.21875    0.15789474],0.7426585905494574
24,2,5,[0.05256769 0.33522727 0.39473684 0.4375     0.36842105],[0.04794521 0.55113636 0.65789474 0.65625    0.57894737],[0.00462249 0.21590909 0.26315789 0.21875    0.21052632],0.9129657897001191
25,2,10,[0.05256769 0.33522727 0.39473684 0.4375     0.36842105],[0.04632486 0.59659091 0.71052632 0.71875    0.63157895],[0.00624283 0.26136364 0.31578947 0.28125    0.26315789],1.1278038394713061
26,2,8,[0.05256769 0.33522727 0.39473684 0.4375     0.36842105],[0.09150327 0.05681818 0.05263158 0.0625     0.07894737],[0.03893557 0.27840909 0.34210526 0.375      0.28947368],1.3239236125072038
27,2,1,[0.05256769 0.33522727 0.39473684 0.4375     0.36842105],[0.12394958 0.05113636 0.05263158 0.0625     0.07894737],[0.07138189 0.28409091 0.34210526 0.375      0.28947368],1.3620517425470986
28,2,0,[0.05256769 0.33522727 0.39473684 0.4375     0.36842105],[0.26995798 0.02272727 0.02631579 0.03125    0.02631579],[0.21739029 0.3125     0.36842105 0.40625    0.34210526],1.6466666052385865
29,2,9,[0.05256769 0.33522727 0.39473684 0.4375     0.36842105],[0.00497977 0.77840909 0.78947368 0.84375    0.78947368],[0.04758792 0.44318182 0.39473684 0.40625    0.42105263],1.712809215924541
30,2,7,[0.05256769 0.33522727 0.39473684 0.4375     0.36842105],[0.41596639 0.00568182 0.         0.         0.        ],[0.36339869 0.32954545 0.39473684 0.4375     0.36842105],1.8936020420927544
31,2,3,[0.05256769 0.33522727 0.39473684 0.4375     0.36842105],[0.00165194 0.84090909 0.84210526 0.875      0.84210526],[0.05091575 0.50568182 0.44736842 0.4375     0.47368421],1.9151502006765162
32,2,2,[0.05256769 0.33522727 0.39473684 0.4375     0.36842105],[1. 0. 0. 0. 0.],[0.94743231 0.33522727 0.39473684 0.4375     0.36842105],2.4833174737199504
33,3,7,[0.41596639 0.00568182 0.         0.         0.        ],[0.41596639 0.00568182 0.         0.         0.        ],[0. 0. 0. 0. 0.],0.0
34,3,0,[0.41596639 0.00568182 0.         0.         0.        ],[0.26995798 0.02272727 0.02631579 0.03125    0.02631579],[0.1460084  0.01704545 0.02631579 0.03125    0.02631579],0.24693543685416752
35,3,1,[0.41596639 0.00568182 0.         0.         0.        ],[0.12394958 0.05113636 0.05263158 0.0625     0.07894737],[0.29201681 0.04545455 0.05263158 0.0625     0.07894737],0.5315502995456556
36,3,8,[0.41596639 0.00568182 0.         0.         0.        ],[0.09150327 0.05681818 0.05263158 0.0625     0.07894737],[0.32446312 0.05113636 0.05263158 0.0625     0.07894737],0.5696784295855504
37,3,2,[0.41596639 0.00568182 0.         0.         0.        ],[1. 0. 0. 0. 0.],[0.58403361 0.00568182 0.         0.         0.        ],0.5897154316271963
38,3,6,[0.41596639 0.00568182 0.         0.         0.        ],[0.07528011 0.17613636 0.21052632 0.21875    0.21052632],[0.34068627 0.17045455 0.21052632 0.21875    0.21052632],1.1509434515432968
39,3,4,[0.41596639 0.00568182 0.         0.         0.        ],[0.05256769 0.33522727 0.39473684 0.4375     0.36842105],[0.36339869 0.32954545 0.39473684 0.4375     0.36842105],1.8936020420927544
