,Exh. Idx,Selevminer Idx,Exh. metric,Selevminer metric,Abs. difference,Manhattan dist.
0,0,1,[1. 0. 0. 0. 0.],[1. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.0
1,0,2,[1. 0. 0. 0. 0.],[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0.91928571 0.0472973  0.03125    0.07142857 0.0625    ],1.131761583011583
2,0,5,[1. 0. 0. 0. 0.],[0.07375    0.20945946 0.25       0.25       0.25      ],[0.92625    0.20945946 0.25       0.25       0.25      ],1.8857094594594594
3,0,4,[1. 0. 0. 0. 0.],[0.05829268 0.36486486 0.4375     0.32142857 0.4375    ],[0.94170732 0.36486486 0.4375     0.32142857 0.4375    ],2.503000753366607
4,0,3,[1. 0. 0. 0. 0.],[0.07163043 0.41891892 0.53125    0.53571429 0.40625   ],[0.92836957 0.41891892 0.53125    0.53571429 0.40625   ],2.820502769850596
5,0,0,[1. 0. 0. 0. 0.],[0. 1. 1. 1. 1.],[1. 1. 1. 1. 1.],5.0
6,1,2,[0.33142857 0.06756757 0.125      0.03571429 0.0625    ],[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0.25071429 0.02027027 0.09375    0.03571429 0.        ],0.40044884169884176
7,1,5,[0.33142857 0.06756757 0.125      0.03571429 0.0625    ],[0.07375    0.20945946 0.25       0.25       0.25      ],[0.25767857 0.14189189 0.125      0.21428571 0.1875    ],0.9263561776061776
8,1,1,[0.33142857 0.06756757 0.125      0.03571429 0.0625    ],[1. 0. 0. 0. 0.],[0.66857143 0.06756757 0.125      0.03571429 0.0625    ],0.9593532818532818
9,1,4,[0.33142857 0.06756757 0.125      0.03571429 0.0625    ],[0.05829268 0.36486486 0.4375     0.32142857 0.4375    ],[0.27313589 0.2972973  0.3125     0.28571429 0.375     ],1.5436474715133253
10,1,3,[0.33142857 0.06756757 0.125      0.03571429 0.0625    ],[0.07163043 0.41891892 0.53125    0.53571429 0.40625   ],[0.25979814 0.35135135 0.40625    0.5        0.34375   ],1.861149487997314
11,1,0,[0.33142857 0.06756757 0.125      0.03571429 0.0625    ],[0. 1. 1. 1. 1.],[0.33142857 0.93243243 0.875      0.96428571 0.9375    ],4.040646718146718
12,2,2,[0.2395     0.09459459 0.15625    0.03571429 0.125     ],[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0.15878571 0.0472973  0.125      0.03571429 0.0625    ],0.42929729729729726
13,2,5,[0.2395     0.09459459 0.15625    0.03571429 0.125     ],[0.07375    0.20945946 0.25       0.25       0.25      ],[0.16575    0.11486486 0.09375    0.21428571 0.125     ],0.7136505791505792
14,2,1,[0.2395     0.09459459 0.15625    0.03571429 0.125     ],[1. 0. 0. 0. 0.],[0.7605     0.09459459 0.15625    0.03571429 0.125     ],1.1720588803088805
15,2,4,[0.2395     0.09459459 0.15625    0.03571429 0.125     ],[0.05829268 0.36486486 0.4375     0.32142857 0.4375    ],[0.18120732 0.27027027 0.28125    0.28571429 0.3125    ],1.3309418730577267
16,2,3,[0.2395     0.09459459 0.15625    0.03571429 0.125     ],[0.07163043 0.41891892 0.53125    0.53571429 0.40625   ],[0.16786957 0.32432432 0.375      0.5        0.28125   ],1.6484438895417157
17,2,0,[0.2395     0.09459459 0.15625    0.03571429 0.125     ],[0. 1. 1. 1. 1.],[0.2395     0.90540541 0.84375    0.96428571 0.875     ],3.8279411196911197
18,3,5,[0.025      0.14189189 0.125      0.17857143 0.15625   ],[0.07375    0.20945946 0.25       0.25       0.25      ],[0.04875    0.06756757 0.125      0.07142857 0.09375   ],0.406496138996139
19,3,2,[0.025      0.14189189 0.125      0.17857143 0.15625   ],[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0.05571429 0.09459459 0.09375    0.10714286 0.09375   ],0.44495173745173744
20,3,4,[0.025      0.14189189 0.125      0.17857143 0.15625   ],[0.05829268 0.36486486 0.4375     0.32142857 0.4375    ],[0.03329268 0.22297297 0.3125     0.14285714 0.28125   ],0.9928727987569451
21,3,3,[0.025      0.14189189 0.125      0.17857143 0.15625   ],[0.07163043 0.41891892 0.53125    0.53571429 0.40625   ],[0.04663043 0.27702703 0.40625    0.35714286 0.25      ],1.337050318952493
22,3,1,[0.025      0.14189189 0.125      0.17857143 0.15625   ],[1. 0. 0. 0. 0.],[0.975      0.14189189 0.125      0.17857143 0.15625   ],1.5767133204633204
23,3,0,[0.025      0.14189189 0.125      0.17857143 0.15625   ],[0. 1. 1. 1. 1.],[0.025      0.85810811 0.875      0.82142857 0.84375   ],3.4232866795366794
24,4,2,[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0. 0. 0. 0. 0.],0.0
25,4,5,[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0.07375    0.20945946 0.25       0.25       0.25      ],[0.00696429 0.16216216 0.21875    0.17857143 0.1875    ],0.7539478764478764
26,4,1,[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[1. 0. 0. 0. 0.],[0.91928571 0.0472973  0.03125    0.07142857 0.0625    ],1.131761583011583
27,4,4,[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0.05829268 0.36486486 0.4375     0.32142857 0.4375    ],[0.0224216  0.31756757 0.40625    0.25       0.375     ],1.371239170355024
28,4,3,[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0.07163043 0.41891892 0.53125    0.53571429 0.40625   ],[0.00908385 0.37162162 0.5        0.46428571 0.34375   ],1.688741186839013
29,4,0,[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0. 1. 1. 1. 1.],[0.08071429 0.9527027  0.96875    0.92857143 0.9375    ],3.868238416988417
30,5,2,[0.35       0.09459459 0.1875     0.07142857 0.0625    ],[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0.26928571 0.0472973  0.15625    0.         0.        ],0.47283301158301155
31,5,5,[0.35       0.09459459 0.1875     0.07142857 0.0625    ],[0.07375    0.20945946 0.25       0.25       0.25      ],[0.27625    0.11486486 0.0625     0.17857143 0.1875    ],0.8196862934362934
32,5,1,[0.35       0.09459459 0.1875     0.07142857 0.0625    ],[1. 0. 0. 0. 0.],[0.65       0.09459459 0.1875     0.07142857 0.0625    ],1.0660231660231663
33,5,4,[0.35       0.09459459 0.1875     0.07142857 0.0625    ],[0.05829268 0.36486486 0.4375     0.32142857 0.4375    ],[0.29170732 0.27027027 0.25       0.25       0.375     ],1.436977587343441
34,5,3,[0.35       0.09459459 0.1875     0.07142857 0.0625    ],[0.07163043 0.41891892 0.53125    0.53571429 0.40625   ],[0.27836957 0.32432432 0.34375    0.46428571 0.34375   ],1.7544796038274297
35,5,0,[0.35       0.09459459 0.1875     0.07142857 0.0625    ],[0. 1. 1. 1. 1.],[0.35       0.90540541 0.8125     0.92857143 0.9375    ],3.9339768339768337
36,6,2,[0.025      0.11486486 0.09375    0.14285714 0.125     ],[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0.05571429 0.06756757 0.0625     0.07142857 0.0625    ],0.3197104247104247
37,6,5,[0.025      0.11486486 0.09375    0.14285714 0.125     ],[0.07375    0.20945946 0.25       0.25       0.25      ],[0.04875    0.09459459 0.15625    0.10714286 0.125     ],0.5317374517374518
38,6,4,[0.025      0.11486486 0.09375    0.14285714 0.125     ],[0.05829268 0.36486486 0.4375     0.32142857 0.4375    ],[0.03329268 0.25       0.34375    0.17857143 0.3125    ],1.118114111498258
39,6,1,[0.025      0.11486486 0.09375    0.14285714 0.125     ],[1. 0. 0. 0. 0.],[0.975      0.11486486 0.09375    0.14285714 0.125     ],1.4514720077220076
40,6,3,[0.025      0.11486486 0.09375    0.14285714 0.125     ],[0.07163043 0.41891892 0.53125    0.53571429 0.40625   ],[0.04663043 0.30405405 0.4375     0.39285714 0.28125   ],1.4622916316938055
41,6,0,[0.025      0.11486486 0.09375    0.14285714 0.125     ],[0. 1. 1. 1. 1.],[0.025      0.88513514 0.90625    0.85714286 0.875     ],3.548527992277992
42,7,0,[0. 1. 1. 1. 1.],[0. 1. 1. 1. 1.],[0. 0. 0. 0. 0.],0.0
43,7,3,[0. 1. 1. 1. 1.],[0.07163043 0.41891892 0.53125    0.53571429 0.40625   ],[0.07163043 0.58108108 0.46875    0.46428571 0.59375   ],2.179497230149404
44,7,4,[0. 1. 1. 1. 1.],[0.05829268 0.36486486 0.4375     0.32142857 0.4375    ],[0.05829268 0.63513514 0.5625     0.67857143 0.5625    ],2.496999246633393
