,Exh. Idx,Selevminer Idx,Exh. metric,Selevminer metric,Abs. difference,Manhattan dist.
0,0,0,[1. 0. 0. 0. 0.],[0.17411765 0.16216216 0.25       0.17857143 0.1875    ],[0.82588235 0.16216216 0.25       0.17857143 0.1875    ],1.6041159436747672
1,0,3,[1. 0. 0. 0. 0.],[0.155      0.16891892 0.25       0.17857143 0.1875    ],[0.845      0.16891892 0.25       0.17857143 0.1875    ],1.6299903474903474
2,0,2,[1. 0. 0. 0. 0.],[0.07375    0.20945946 0.25       0.25       0.25      ],[0.92625    0.20945946 0.25       0.25       0.25      ],1.8857094594594594
3,0,1,[1. 0. 0. 0. 0.],[0.06877551 0.44594595 0.5625     0.53571429 0.5625    ],[0.93122449 0.44594595 0.5625     0.53571429 0.5625    ],3.03788472145615
4,1,0,[0.33142857 0.06756757 0.125      0.03571429 0.0625    ],[0.17411765 0.16216216 0.25       0.17857143 0.1875    ],[0.15731092 0.09459459 0.125      0.14285714 0.125     ],0.6447626618214854
5,1,3,[0.33142857 0.06756757 0.125      0.03571429 0.0625    ],[0.155      0.16891892 0.25       0.17857143 0.1875    ],[0.17642857 0.10135135 0.125      0.14285714 0.125     ],0.6706370656370657
6,1,2,[0.33142857 0.06756757 0.125      0.03571429 0.0625    ],[0.07375    0.20945946 0.25       0.25       0.25      ],[0.25767857 0.14189189 0.125      0.21428571 0.1875    ],0.9263561776061776
7,1,1,[0.33142857 0.06756757 0.125      0.03571429 0.0625    ],[0.06877551 0.44594595 0.5625     0.53571429 0.5625    ],[0.26265306 0.37837838 0.4375     0.5        0.5       ],2.0785314396028682
8,2,0,[0.2395     0.09459459 0.15625    0.03571429 0.125     ],[0.17411765 0.16216216 0.25       0.17857143 0.1875    ],[0.06538235 0.06756757 0.09375    0.14285714 0.0625    ],0.43205706336588684
9,2,3,[0.2395     0.09459459 0.15625    0.03571429 0.125     ],[0.155      0.16891892 0.25       0.17857143 0.1875    ],[0.0845     0.07432432 0.09375    0.14285714 0.0625    ],0.4579314671814671
10,2,2,[0.2395     0.09459459 0.15625    0.03571429 0.125     ],[0.07375    0.20945946 0.25       0.25       0.25      ],[0.16575    0.11486486 0.09375    0.21428571 0.125     ],0.7136505791505792
11,2,1,[0.2395     0.09459459 0.15625    0.03571429 0.125     ],[0.06877551 0.44594595 0.5625     0.53571429 0.5625    ],[0.17072449 0.35135135 0.40625    0.5        0.4375    ],1.8658258411472697
12,3,3,[0.025      0.14189189 0.125      0.17857143 0.15625   ],[0.155      0.16891892 0.25       0.17857143 0.1875    ],[0.13       0.02702703 0.125      0.         0.03125   ],0.3132770270270271
13,3,0,[0.025      0.14189189 0.125      0.17857143 0.15625   ],[0.17411765 0.16216216 0.25       0.17857143 0.1875    ],[0.14911765 0.02027027 0.125      0.         0.03125   ],0.32563791732909386
14,3,2,[0.025      0.14189189 0.125      0.17857143 0.15625   ],[0.07375    0.20945946 0.25       0.25       0.25      ],[0.04875    0.06756757 0.125      0.07142857 0.09375   ],0.406496138996139
15,3,1,[0.025      0.14189189 0.125      0.17857143 0.15625   ],[0.06877551 0.44594595 0.5625     0.53571429 0.5625    ],[0.04377551 0.30405405 0.4375     0.35714286 0.40625   ],1.548722421400993
16,4,3,[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0.155      0.16891892 0.25       0.17857143 0.1875    ],[0.07428571 0.12162162 0.21875    0.10714286 0.125     ],0.646800193050193
17,4,0,[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0.17411765 0.16216216 0.25       0.17857143 0.1875    ],[0.09340336 0.11486486 0.21875    0.10714286 0.125     ],0.6591610833522599
18,4,2,[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0.07375    0.20945946 0.25       0.25       0.25      ],[0.00696429 0.16216216 0.21875    0.17857143 0.1875    ],0.7539478764478764
