,Exh. Idx,Selevminer Idx,Exh. metric,Selevminer metric,Abs. difference,Manhattan dist.
29,3,1,[0.025      0.14189189 0.125      0.17857143 0.15625   ],[1. 0. 0. 0. 0.],[0.975      0.14189189 0.125      0.17857143 0.15625   ],1.5767133204633204
30,3,0,[0.025      0.14189189 0.125      0.17857143 0.15625   ],[0. 1. 1. 1. 1.],[0.025      0.85810811 0.875      0.82142857 0.84375   ],3.4232866795366794
31,3,5,[0.025      0.14189189 0.125      0.17857143 0.15625   ],[0.00526316 2.14864865 2.25       2.14285714 2.25      ],[0.01973684 2.00675676 2.125      1.96428571 2.09375   ],8.209529313147733
32,4,2,[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0. 0. 0. 0. 0.],0.0
33,4,3,[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0.025      0.14189189 0.125      0.17857143 0.15625   ],[0.05571429 0.09459459 0.09375    0.10714286 0.09375   ],0.44495173745173744
34,4,4,[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0.155      0.16891892 0.25       0.17857143 0.1875    ],[0.07428571 0.12162162 0.21875    0.10714286 0.125     ],0.646800193050193
35,4,7,[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0.07375    0.20945946 0.25       0.25       0.25      ],[0.00696429 0.16216216 0.21875    0.17857143 0.1875    ],0.7539478764478764
36,4,1,[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[1. 0. 0. 0. 0.],[0.91928571 0.0472973  0.03125    0.07142857 0.0625    ],1.131761583011583
37,4,6,[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0.06877551 0.44594595 0.5625     0.53571429 0.5625    ],[0.01193878 0.39864865 0.53125    0.46428571 0.5       ],1.906123138444567
38,4,0,[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0. 1. 1. 1. 1.],[0.08071429 0.9527027  0.96875    0.92857143 0.9375    ],3.868238416988417
39,4,5,[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0.00526316 2.14864865 2.25       2.14285714 2.25      ],[0.07545113 2.10135135 2.21875    2.07142857 2.1875    ],8.654481050599472
40,5,2,[0.35       0.09459459 0.1875     0.07142857 0.0625    ],[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0.26928571 0.0472973  0.15625    0.         0.        ],0.47283301158301155
41,5,4,[0.35       0.09459459 0.1875     0.07142857 0.0625    ],[0.155      0.16891892 0.25       0.17857143 0.1875    ],[0.195      0.07432432 0.0625     0.10714286 0.125     ],0.5639671814671814
42,5,3,[0.35       0.09459459 0.1875     0.07142857 0.0625    ],[0.025      0.14189189 0.125      0.17857143 0.15625   ],[0.325      0.0472973  0.0625     0.10714286 0.09375   ],0.6356901544401543
43,5,7,[0.35       0.09459459 0.1875     0.07142857 0.0625    ],[0.07375    0.20945946 0.25       0.25       0.25      ],[0.27625    0.11486486 0.0625     0.17857143 0.1875    ],0.8196862934362934
44,5,1,[0.35       0.09459459 0.1875     0.07142857 0.0625    ],[1. 0. 0. 0. 0.],[0.65       0.09459459 0.1875     0.07142857 0.0625    ],1.0660231660231663
45,5,6,[0.35       0.09459459 0.1875     0.07142857 0.0625    ],[0.06877551 0.44594595 0.5625     0.53571429 0.5625    ],[0.28122449 0.35135135 0.375      0.46428571 0.5       ],1.9718615554329841
46,5,0,[0.35       0.09459459 0.1875     0.07142857 0.0625    ],[0. 1. 1. 1. 1.],[0.35       0.90540541 0.8125     0.92857143 0.9375    ],3.9339768339768337
47,5,5,[0.35       0.09459459 0.1875     0.07142857 0.0625    ],[0.00526316 2.14864865 2.25       2.14285714 2.25      ],[0.34473684 2.05405405 2.0625     2.07142857 2.1875    ],8.720219467587889
48,6,3,[0.025      0.11486486 0.09375    0.14285714 0.125     ],[0.025      0.14189189 0.125      0.17857143 0.15625   ],[0.         0.02702703 0.03125    0.03571429 0.03125   ],0.12524131274131273
49,6,2,[0.025      0.11486486 0.09375    0.14285714 0.125     ],[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0.05571429 0.06756757 0.0625     0.07142857 0.0625    ],0.3197104247104247
50,6,4,[0.025      0.11486486 0.09375    0.14285714 0.125     ],[0.155      0.16891892 0.25       0.17857143 0.1875    ],[0.13       0.05405405 0.15625    0.03571429 0.0625    ],0.43851833976833976
51,6,7,[0.025      0.11486486 0.09375    0.14285714 0.125     ],[0.07375    0.20945946 0.25       0.25       0.25      ],[0.04875    0.09459459 0.15625    0.10714286 0.125     ],0.5317374517374518
52,6,1,[0.025      0.11486486 0.09375    0.14285714 0.125     ],[1. 0. 0. 0. 0.],[0.975      0.11486486 0.09375    0.14285714 0.125     ],1.4514720077220076
53,6,6,[0.025      0.11486486 0.09375    0.14285714 0.125     ],[0.06877551 0.44594595 0.5625     0.53571429 0.5625    ],[0.04377551 0.33108108 0.46875    0.39285714 0.4375    ],1.6739637341423055
54,6,0,[0.025      0.11486486 0.09375    0.14285714 0.125     ],[0. 1. 1. 1. 1.],[0.025      0.88513514 0.90625    0.85714286 0.875     ],3.548527992277992
55,6,5,[0.025      0.11486486 0.09375    0.14285714 0.125     ],[0.00526316 2.14864865 2.25       2.14285714 2.25      ],[0.01973684 2.03378378 2.15625    2.         2.125     ],8.334770625889046
56,7,0,[0. 1. 1. 1. 1.],[0. 1. 1. 1. 1.],[0. 0. 0. 0. 0.],0.0
57,7,6,[0. 1. 1. 1. 1.],[0.06877551 0.44594595 0.5625     0.53571429 0.5625    ],[0.06877551 0.55405405 0.4375     0.46428571 0.4375    ],1.96211527854385
58,7,7,[0. 1. 1. 1. 1.],[0.07375    0.20945946 0.25       0.25       0.25      ],[0.07375    0.79054054 0.75       0.75       0.75      ],3.1142905405405408
59,7,4,[0. 1. 1. 1. 1.],[0.155      0.16891892 0.25       0.17857143 0.1875    ],[0.155      0.83108108 0.75       0.82142857 0.8125    ],3.3700096525096526
60,7,3,[0. 1. 1. 1. 1.],[0.025      0.14189189 0.125      0.17857143 0.15625   ],[0.025      0.85810811 0.875      0.82142857 0.84375   ],3.4232866795366794
61,7,2,[0. 1. 1. 1. 1.],[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0.08071429 0.9527027  0.96875    0.92857143 0.9375    ],3.868238416988417
62,7,5,[0. 1. 1. 1. 1.],[0.00526316 2.14864865 2.25       2.14285714 2.25      ],[0.00526316 1.14864865 1.25       1.14285714 1.25      ],4.796768949400528
63,7,1,[0. 1. 1. 1. 1.],[1. 0. 0. 0. 0.],[1. 1. 1. 1. 1.],5.0
64,8,4,[0.26875    0.12162162 0.21875    0.10714286 0.0625    ],[0.155      0.16891892 0.25       0.17857143 0.1875    ],[0.11375    0.0472973  0.03125    0.07142857 0.125     ],0.38872586872586873
65,8,2,[0.26875    0.12162162 0.21875    0.10714286 0.0625    ],[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0.18803571 0.07432432 0.1875     0.03571429 0.        ],0.48557432432432435
66,8,3,[0.26875    0.12162162 0.21875    0.10714286 0.0625    ],[0.025      0.14189189 0.125      0.17857143 0.15625   ],[0.24375    0.02027027 0.09375    0.07142857 0.09375   ],0.5229488416988417
67,8,7,[0.26875    0.12162162 0.21875    0.10714286 0.0625    ],[0.07375    0.20945946 0.25       0.25       0.25      ],[0.195      0.08783784 0.03125    0.14285714 0.1875    ],0.6444449806949807
68,8,1,[0.26875    0.12162162 0.21875    0.10714286 0.0625    ],[1. 0. 0. 0. 0.],[0.73125    0.12162162 0.21875    0.10714286 0.0625    ],1.2412644787644789
69,8,6,[0.26875    0.12162162 0.21875    0.10714286 0.0625    ],[0.06877551 0.44594595 0.5625     0.53571429 0.5625    ],[0.19997449 0.32432432 0.34375    0.42857143 0.5       ],1.7966202426916713
70,8,0,[0.26875    0.12162162 0.21875    0.10714286 0.0625    ],[0. 1. 1. 1. 1.],[0.26875    0.87837838 0.78125    0.89285714 0.9375    ],3.758735521235521
71,8,5,[0.26875    0.12162162 0.21875    0.10714286 0.0625    ],[0.00526316 2.14864865 2.25       2.14285714 2.25      ],[0.26348684 2.02702703 2.03125    2.03571429 2.1875    ],8.544978154846575
72,9,2,[0.415      0.10135135 0.21875    0.03571429 0.03125   ],[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0.33428571 0.05405405 0.1875     0.03571429 0.03125   ],0.642804054054054
73,9,4,[0.415      0.10135135 0.21875    0.03571429 0.03125   ],[0.155      0.16891892 0.25       0.17857143 0.1875    ],[0.26       0.06756757 0.03125    0.14285714 0.15625   ],0.6579247104247103
74,9,3,[0.415      0.10135135 0.21875    0.03571429 0.03125   ],[0.025      0.14189189 0.125      0.17857143 0.15625   ],[0.39       0.04054054 0.09375    0.14285714 0.125     ],0.7921476833976833
75,9,7,[0.415      0.10135135 0.21875    0.03571429 0.03125   ],[0.07375    0.20945946 0.25       0.25       0.25      ],[0.34125    0.10810811 0.03125    0.21428571 0.21875   ],0.9136438223938224
76,9,1,[0.415      0.10135135 0.21875    0.03571429 0.03125   ],[1. 0. 0. 0. 0.],[0.585      0.10135135 0.21875    0.03571429 0.03125   ],0.972065637065637
77,9,6,[0.415      0.10135135 0.21875    0.03571429 0.03125   ],[0.06877551 0.44594595 0.5625     0.53571429 0.5625    ],[0.34622449 0.34459459 0.34375    0.5        0.53125   ],2.0658190843905126
78,9,0,[0.415      0.10135135 0.21875    0.03571429 0.03125   ],[0. 1. 1. 1. 1.],[0.415      0.89864865 0.78125    0.96428571 0.96875   ],4.027934362934364
79,9,5,[0.415      0.10135135 0.21875    0.03571429 0.03125   ],[0.00526316 2.14864865 2.25       2.14285714 2.25      ],[0.40973684 2.0472973  2.03125    2.10714286 2.21875   ],8.814176996545418
