,Exh. Idx,Selevminer Idx,Exh. metric,Selevminer metric,Abs. difference,Manhattan dist.
0,0,0,[1. 0. 0. 0. 0.],[1. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.0
1,0,4,[1. 0. 0. 0. 0.],[0.30376644 0.00055036 0.00201207 0.00100806 0.00104058],"[6.96233564e-01 5.50357733e-04 2.01207243e-03 1.00806452e-03
 1.04058273e-03]",0.700844641037849
2,0,6,[1. 0. 0. 0. 0.],[0.11457253 0.00212281 0.00503018 0.00403226 0.00416233],[0.88542747 0.00212281 0.00503018 0.00403226 0.00416233],0.9007750452413411
3,0,7,[1. 0. 0. 0. 0.],[0.09489637 0.00275179 0.00603622 0.00403226 0.00520291],[0.90510363 0.00275179 0.00603622 0.00403226 0.00520291],0.9231268103793407
4,0,8,[1. 0. 0. 0. 0.],[0.05511159 0.00369526 0.00603622 0.00403226 0.00520291],[0.94488841 0.00369526 0.00603622 0.00403226 0.00520291],0.9638550558424289
5,0,2,[1. 0. 0. 0. 0.],[0.05279852 0.00377388 0.00603622 0.00403226 0.00520291],[0.94720148 0.00377388 0.00603622 0.00403226 0.00520291],0.9662467466933489
6,0,3,[1. 0. 0. 0. 0.],[0.01015279 0.05134051 0.06036217 0.05846774 0.05931322],[0.98984721 0.05134051 0.06036217 0.05846774 0.05931322],1.2193308575018413
7,0,5,[1. 0. 0. 0. 0.],[0.01006119 0.05141914 0.06036217 0.05846774 0.05931322],[0.98993881 0.05141914 0.06036217 0.05846774 0.05931322],1.219501081938431
8,0,1,[1. 0. 0. 0. 0.],[0.00190947 0.06352701 0.06438632 0.0625     0.06347555],[0.99809053 0.06352701 0.06438632 0.0625     0.06347555],1.2519794025367323
9,1,4,"[6.51883218e-01 3.14490133e-04 2.01207243e-03 0.00000000e+00
 0.00000000e+00]",[0.30376644 0.00055036 0.00201207 0.00100806 0.00104058],"[3.48116782e-01 2.35867600e-04 0.00000000e+00 1.00806452e-03
 1.04058273e-03]",0.35040129665623954
10,1,0,"[6.51883218e-01 3.14490133e-04 2.01207243e-03 0.00000000e+00
 0.00000000e+00]",[1. 0. 0. 0. 0.],"[3.48116782e-01 3.14490133e-04 2.01207243e-03 0.00000000e+00
 0.00000000e+00]",0.3504433443816095
