,Exh. Idx,Selevminer Idx,Exh. metric,Selevminer metric,Abs. difference,Manhattan dist.
0,0,10,[1. 0. 0. 0. 0.],[1. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.0
1,0,8,[1. 0. 0. 0. 0.],[0.30376644 0.00055036 0.00201207 0.00100806 0.00104058],"[6.96233564e-01 5.50357733e-04 2.01207243e-03 1.00806452e-03
 1.04058273e-03]",0.700844641037849
2,0,19,[1. 0. 0. 0. 0.],[0.28200914 0.00078623 0.00301811 0.00201613 0.00208117],[0.71799086 0.00078623 0.00301811 0.00201613 0.00208117],0.7258924909606458
3,0,20,[1. 0. 0. 0. 0.],[0.21673724 0.00094347 0.00301811 0.00201613 0.00208117],[0.78326276 0.00094347 0.00301811 0.00201613 0.00208117],0.7913216326172311
4,0,1,[1. 0. 0. 0. 0.],[0.17322264 0.00110072 0.00301811 0.00201613 0.00208117],[0.82677736 0.00110072 0.00301811 0.00201613 0.00208117],0.8349934754104333
5,0,0,[1. 0. 0. 0. 0.],[0.11457253 0.00212281 0.00503018 0.00403226 0.00416233],[0.88542747 0.00212281 0.00503018 0.00403226 0.00416233],0.9007750452413411
6,0,4,[1. 0. 0. 0. 0.],[0.09489637 0.00275179 0.00603622 0.00403226 0.00520291],[0.90510363 0.00275179 0.00603622 0.00403226 0.00520291],0.9231268103793407
7,0,5,[1. 0. 0. 0. 0.],[0.06008469 0.00306628 0.00503018 0.00403226 0.00416233],[0.93991531 0.00306628 0.00503018 0.00403226 0.00416233],0.9562063597499951
8,0,12,[1. 0. 0. 0. 0.],[0.05511159 0.00369526 0.00603622 0.00403226 0.00520291],[0.94488841 0.00369526 0.00603622 0.00403226 0.00520291],0.9638550558424289
9,0,13,[1. 0. 0. 0. 0.],[0.05279852 0.00377388 0.00603622 0.00403226 0.00520291],[0.94720148 0.00377388 0.00603622 0.00403226 0.00520291],0.9662467466933489
10,0,18,[1. 0. 0. 0. 0.],[0.0505906  0.0038525  0.00603622 0.00403226 0.00520291],[0.9494094  0.0038525  0.00603622 0.00403226 0.00520291],0.9685332980752823
11,0,3,[1. 0. 0. 0. 0.],[0.04365671 0.01611762 0.02816901 0.02520161 0.02601457],[0.95634329 0.01611762 0.02816901 0.02520161 0.02601457],1.0518461083157609
12,0,11,[1. 0. 0. 0. 0.],[0.03822619 0.01934114 0.03219316 0.03024194 0.0301769 ],[0.96177381 0.01934114 0.03219316 0.03024194 0.0301769 ],1.0737269431731347
13,0,2,[1. 0. 0. 0. 0.],[0.04226639 0.01910528 0.0331992  0.03225806 0.03329865],[0.95773361 0.01910528 0.0331992  0.03225806 0.03329865],1.0755947931324064
14,0,21,[1. 0. 0. 0. 0.],[0.01786627 0.02044186 0.02615694 0.02419355 0.0239334 ],[0.98213373 0.02044186 0.02615694 0.02419355 0.0239334 ],1.0768594804973584
15,0,17,[1. 0. 0. 0. 0.],[0.01050852 0.04442173 0.05231388 0.05040323 0.05098855],[0.98949148 0.04442173 0.05231388 0.05040323 0.05098855],1.1876188691209468
16,0,7,[1. 0. 0. 0. 0.],[0.01015279 0.05134051 0.06036217 0.05846774 0.05931322],[0.98984721 0.05134051 0.06036217 0.05846774 0.05931322],1.2193308575018413
17,0,9,[1. 0. 0. 0. 0.],[0.01006119 0.05141914 0.06036217 0.05846774 0.05931322],[0.98993881 0.05141914 0.06036217 0.05846774 0.05931322],1.219501081938431
18,0,6,[1. 0. 0. 0. 0.],[0.00182841 0.06266216 0.06338028 0.0625     0.06243496],[0.99817159 0.06266216 0.06338028 0.0625     0.06243496],1.2491489929156345
19,0,15,[1. 0. 0. 0. 0.],[0.         0.99905653 0.99899396 1.         0.99895942],[1.         0.99905653 0.99899396 1.         0.99895942],4.997009910657753
20,0,16,[1. 0. 0. 0. 0.],"[-9.42080469e-05  1.13082790e+00  1.12877264e+00  1.12903226e+00
  1.13319459e+00]",[1.00009421 1.1308279  1.12877264 1.12903226 1.13319459],5.52192158617094
21,0,14,[1. 0. 0. 0. 0.],"[-1.00881168e-04  1.13098514e+00  1.12877264e+00  1.12903226e+00
  1.13319459e+00]",[1.00010088 1.13098514 1.12877264 1.12903226 1.13319459],5.522085504358214
22,1,8,"[6.51883218e-01 3.14490133e-04 2.01207243e-03 0.00000000e+00
 0.00000000e+00]",[0.30376644 0.00055036 0.00201207 0.00100806 0.00104058],"[3.48116782e-01 2.35867600e-04 0.00000000e+00 1.00806452e-03
 1.04058273e-03]",0.35040129665623954
23,1,10,"[6.51883218e-01 3.14490133e-04 2.01207243e-03 0.00000000e+00
 0.00000000e+00]",[1. 0. 0. 0. 0.],"[3.48116782e-01 3.14490133e-04 2.01207243e-03 0.00000000e+00
 0.00000000e+00]",0.3504433443816095
24,1,19,"[6.51883218e-01 3.14490133e-04 2.01207243e-03 0.00000000e+00
 0.00000000e+00]",[0.28200914 0.00078623 0.00301811 0.00201613 0.00208117],[0.36987408 0.00047174 0.00100604 0.00201613 0.00208117],0.3754491465790363
25,1,20,"[6.51883218e-01 3.14490133e-04 2.01207243e-03 0.00000000e+00
 0.00000000e+00]",[0.21673724 0.00094347 0.00301811 0.00201613 0.00208117],[0.43514598 0.00062898 0.00100604 0.00201613 0.00208117],0.44087828823562164
26,1,1,"[6.51883218e-01 3.14490133e-04 2.01207243e-03 0.00000000e+00
 0.00000000e+00]",[0.17322264 0.00110072 0.00301811 0.00201613 0.00208117],[0.47866057 0.00078623 0.00100604 0.00201613 0.00208117],0.4845501310288238
27,1,0,"[6.51883218e-01 3.14490133e-04 2.01207243e-03 0.00000000e+00
 0.00000000e+00]",[0.11457253 0.00212281 0.00503018 0.00403226 0.00416233],[0.53731068 0.00180832 0.00301811 0.00403226 0.00416233],0.5503317008597317
28,1,4,"[6.51883218e-01 3.14490133e-04 2.01207243e-03 0.00000000e+00
 0.00000000e+00]",[0.09489637 0.00275179 0.00603622 0.00403226 0.00520291],[0.55698685 0.0024373  0.00402414 0.00403226 0.00520291],0.5726834659977312
29,1,5,"[6.51883218e-01 3.14490133e-04 2.01207243e-03 0.00000000e+00
 0.00000000e+00]",[0.06008469 0.00306628 0.00503018 0.00403226 0.00416233],[0.59179853 0.00275179 0.00301811 0.00403226 0.00416233],0.6057630153683856
30,1,12,"[6.51883218e-01 3.14490133e-04 2.01207243e-03 0.00000000e+00
 0.00000000e+00]",[0.05511159 0.00369526 0.00603622 0.00403226 0.00520291],[0.59677163 0.00338077 0.00402414 0.00403226 0.00520291],0.6134117114608195
31,1,13,"[6.51883218e-01 3.14490133e-04 2.01207243e-03 0.00000000e+00
 0.00000000e+00]",[0.05279852 0.00377388 0.00603622 0.00403226 0.00520291],[0.59908469 0.00345939 0.00402414 0.00403226 0.00520291],0.6158034023117394
32,1,18,"[6.51883218e-01 3.14490133e-04 2.01207243e-03 0.00000000e+00
 0.00000000e+00]",[0.0505906  0.0038525  0.00603622 0.00403226 0.00520291],[0.60129262 0.00353801 0.00402414 0.00403226 0.00520291],0.6180899536936728
33,1,3,"[6.51883218e-01 3.14490133e-04 2.01207243e-03 0.00000000e+00
 0.00000000e+00]",[0.04365671 0.01611762 0.02816901 0.02520161 0.02601457],[0.60822651 0.01580313 0.02615694 0.02520161 0.02601457],0.7014027639341514
34,1,11,"[6.51883218e-01 3.14490133e-04 2.01207243e-03 0.00000000e+00
 0.00000000e+00]",[0.03822619 0.01934114 0.03219316 0.03024194 0.0301769 ],[0.61365702 0.01902665 0.03018109 0.03024194 0.0301769 ],0.7232835987915252
35,1,2,"[6.51883218e-01 3.14490133e-04 2.01207243e-03 0.00000000e+00
 0.00000000e+00]",[0.04226639 0.01910528 0.0331992  0.03225806 0.03329865],[0.60961683 0.01879079 0.03118712 0.03225806 0.03329865],0.725151448750797
36,1,21,"[6.51883218e-01 3.14490133e-04 2.01207243e-03 0.00000000e+00
 0.00000000e+00]",[0.01786627 0.02044186 0.02615694 0.02419355 0.0239334 ],[0.63401695 0.02012737 0.02414487 0.02419355 0.0239334 ],0.7264161361157487
37,1,17,"[6.51883218e-01 3.14490133e-04 2.01207243e-03 0.00000000e+00
 0.00000000e+00]",[0.01050852 0.04442173 0.05231388 0.05040323 0.05098855],[0.64137469 0.04410724 0.05030181 0.05040323 0.05098855],0.8371755247393377
