,Exh. Idx,Selevminer Idx,Exh. metric,Selevminer metric,Abs. difference,Manhattan dist.
27,4,3,[0.06756757 0.31034483 0.28571429 0.42857143 0.375     ],[0.22297297 0.13793103 0.14285714 0.14285714 0.125     ],[0.15540541 0.17241379 0.14285714 0.28571429 0.25      ],1.0063906270802823
28,4,2,[0.06756757 0.31034483 0.28571429 0.42857143 0.375     ],[0.37837838 0.03448276 0.         0.         0.        ],[0.31081081 0.27586207 0.28571429 0.42857143 0.375     ],1.6759585940620423
29,4,1,[0.06756757 0.31034483 0.28571429 0.42857143 0.375     ],[1. 0. 0. 0. 0.],[0.93243243 0.31034483 0.28571429 0.42857143 0.375     ],2.3320629743043533
30,5,0,[0.15233415 0.51724138 0.71428571 0.28571429 0.375     ],[0.1021021  0.37931034 0.42857143 0.28571429 0.375     ],[0.05023205 0.13793103 0.28571429 0.         0.        ],0.4738773704290946
31,5,5,[0.15233415 0.51724138 0.71428571 0.28571429 0.375     ],[0.11196911 0.27586207 0.28571429 0.28571429 0.375     ],[0.04036504 0.24137931 0.42857143 0.         0.        ],0.7103157792812966
32,5,4,[0.15233415 0.51724138 0.71428571 0.28571429 0.375     ],[0.12972973 0.17241379 0.14285714 0.28571429 0.25      ],[0.02260442 0.34482759 0.57142857 0.         0.125     ],1.0638605802398906
33,5,3,[0.15233415 0.51724138 0.71428571 0.28571429 0.375     ],[0.22297297 0.13793103 0.14285714 0.14285714 0.125     ],[0.07063882 0.37931034 0.57142857 0.14285714 0.25      ],1.414234879752121
34,5,2,[0.15233415 0.51724138 0.71428571 0.28571429 0.375     ],[0.37837838 0.03448276 0.         0.         0.        ],[0.22604423 0.48275862 0.71428571 0.28571429 0.375     ],2.083802846733881
35,5,1,[0.15233415 0.51724138 0.71428571 0.28571429 0.375     ],[1. 0. 0. 0. 0.],[0.84766585 0.51724138 0.71428571 0.28571429 0.375     ],2.7399072269761926
36,6,0,[0.14527027 0.34482759 0.42857143 0.28571429 0.375     ],[0.1021021  0.37931034 0.42857143 0.28571429 0.375     ],[0.04316817 0.03448276 0.         0.         0.        ],0.07765092678885777
37,6,5,[0.14527027 0.34482759 0.42857143 0.28571429 0.375     ],[0.11196911 0.27586207 0.28571429 0.28571429 0.375     ],[0.03330116 0.06896552 0.14285714 0.         0.        ],0.2451238183996805
38,6,4,[0.14527027 0.34482759 0.42857143 0.28571429 0.375     ],[0.12972973 0.17241379 0.14285714 0.28571429 0.25      ],[0.01554054 0.17241379 0.28571429 0.         0.125     ],0.5986686193582745
