,Exh. Idx,Selevminer Idx,Exh. metric,Selevminer metric,Abs. difference,Manhattan dist.
0,0,0,[1. 0. 0. 0. 0.],[1. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.0
1,0,3,[1. 0. 0. 0. 0.],[0.37837838 0.03448276 0.         0.         0.        ],[0.62162162 0.03448276 0.         0.         0.        ],0.6561043802423112
2,0,5,[1. 0. 0. 0. 0.],[0.22297297 0.13793103 0.14285714 0.14285714 0.125     ],[0.77702703 0.13793103 0.14285714 0.14285714 0.125     ],1.3256723472240712
3,0,6,[1. 0. 0. 0. 0.],[0.12972973 0.17241379 0.14285714 0.28571429 0.25      ],[0.87027027 0.17241379 0.14285714 0.28571429 0.25      ],1.721255491945147
4,0,7,[1. 0. 0. 0. 0.],[0.11196911 0.27586207 0.28571429 0.28571429 0.375     ],[0.88803089 0.27586207 0.28571429 0.28571429 0.375     ],2.1103215284249766
5,0,4,[1. 0. 0. 0. 0.],[0.06756757 0.31034483 0.28571429 0.42857143 0.375     ],[0.93243243 0.31034483 0.28571429 0.42857143 0.375     ],2.3320629743043533
6,0,8,[1. 0. 0. 0. 0.],[0.1021021  0.37931034 0.42857143 0.28571429 0.375     ],[0.8978979  0.37931034 0.42857143 0.28571429 0.375     ],2.3664939570111985
7,0,2,[1. 0. 0. 0. 0.],[0.01576577 0.48275862 0.42857143 0.57142857 0.5       ],[0.98423423 0.48275862 0.42857143 0.57142857 0.5       ],2.9669928549238893
8,0,1,[1. 0. 0. 0. 0.],[0. 1. 1. 1. 1.],[1. 1. 1. 1. 1.],5.0
9,1,3,[0.53378378 0.20689655 0.42857143 0.         0.        ],[0.37837838 0.03448276 0.         0.         0.        ],[0.15540541 0.17241379 0.42857143 0.         0.        ],0.7563906270802823
10,1,5,[0.53378378 0.20689655 0.42857143 0.         0.        ],[0.22297297 0.13793103 0.14285714 0.14285714 0.125     ],[0.31081081 0.06896552 0.28571429 0.14285714 0.125     ],0.9333477566236188
11,1,0,[0.53378378 0.20689655 0.42857143 0.         0.        ],[1. 0. 0. 0. 0.],[0.46621622 0.20689655 0.42857143 0.         0.        ],1.1016841965117827
12,1,6,[0.53378378 0.20689655 0.42857143 0.         0.        ],[0.12972973 0.17241379 0.14285714 0.28571429 0.25      ],[0.40405405 0.03448276 0.28571429 0.28571429 0.25      ],1.2599653841033152
13,1,8,[0.53378378 0.20689655 0.42857143 0.         0.        ],[0.1021021  0.37931034 0.42857143 0.28571429 0.375     ],[0.43168168 0.17241379 0.         0.28571429 0.375     ],1.2648097604994155
14,1,7,[0.53378378 0.20689655 0.42857143 0.         0.        ],[0.11196911 0.27586207 0.28571429 0.28571429 0.375     ],[0.42181467 0.06896552 0.14285714 0.28571429 0.375     ],1.2943516176274796
15,1,4,[0.53378378 0.20689655 0.42857143 0.         0.        ],[0.06756757 0.31034483 0.28571429 0.42857143 0.375     ],[0.46621622 0.10344828 0.14285714 0.42857143 0.375     ],1.5160930635068566
16,1,2,[0.53378378 0.20689655 0.42857143 0.         0.        ],[0.01576577 0.48275862 0.42857143 0.57142857 0.5       ],[0.51801802 0.27586207 0.         0.57142857 0.5       ],1.8653086584121068
17,1,1,[0.53378378 0.20689655 0.42857143 0.         0.        ],[0. 1. 1. 1. 1.],[0.53378378 0.79310345 0.57142857 1.         1.        ],3.8983158034882175
18,2,8,[0.28957529 0.34482759 0.57142857 0.14285714 0.25      ],[0.1021021  0.37931034 0.42857143 0.28571429 0.375     ],[0.18747319 0.03448276 0.14285714 0.14285714 0.125     ],0.6326702318081627
